date;week;region;Mean(R);Quantile.0.025(R);Quantile.0.975(R)
2020-05-01;18;Tarapacá; 1,1989026;0,98214678; 1,4387296
2020-05-02;18;Tarapacá; 1,1837064;0,97546000; 1,4131483
2020-05-03;18;Tarapacá; 1,5840366;1,34593224; 1,8472319
2020-05-04;19;Tarapacá; 1,6220132;1,32882217; 1,9286540
2020-05-05;19;Tarapacá; 1,5787604;1,26314047; 1,9176589
2020-05-06;19;Tarapacá; 1,4724475;1,18084055; 1,8145074
2020-05-07;19;Tarapacá; 1,7267840;1,42341280; 2,0905576
2020-05-08;19;Tarapacá; 1,7381559;1,38837166; 2,1322837
2020-05-09;19;Tarapacá; 1,6150344;1,27384844; 2,0107831
2020-05-10;19;Tarapacá; 1,5350115;1,23905027; 1,9094330
2020-05-11;20;Tarapacá; 1,4620251;1,20061587; 1,7894627
2020-05-12;20;Tarapacá; 1,4278765;1,19440371; 1,7177871
2020-05-13;20;Tarapacá; 1,3915658;1,17996443; 1,6505178
2020-05-14;20;Tarapacá; 1,4465219;1,24211116; 1,6913855
2020-05-15;20;Tarapacá; 1,5992232;1,37155962; 1,8563784
2020-05-16;20;Tarapacá; 1,5875393;1,32116071; 1,8693586
2020-05-17;20;Tarapacá; 1,5907057;1,31726100; 1,8929048
2020-05-18;21;Tarapacá; 1,5538507;1,28916253; 1,8619126
2020-05-19;21;Tarapacá; 1,4535009;1,21169865; 1,7411793
2020-05-20;21;Tarapacá; 1,3534172;1,15311695; 1,6011899
2020-05-21;21;Tarapacá; 1,3044652;1,13606363; 1,5162502
2020-05-22;21;Tarapacá; 1,3825351;1,22798156; 1,5714151
2020-05-23;21;Tarapacá; 1,3647841;1,20228748; 1,5448834
2020-05-24;21;Tarapacá; 1,3497946;1,18803115; 1,5277189
2020-05-25;22;Tarapacá; 1,3118327;1,16056990; 1,4820830
2020-05-26;22;Tarapacá; 1,3216357;1,17909519; 1,4847608
2020-05-27;22;Tarapacá; 1,2850288;1,14614849; 1,4395397
2020-05-28;22;Tarapacá; 1,2954283;1,16413062; 1,4446873
2020-05-29;22;Tarapacá; 1,2643148;1,13700912; 1,4051180
2020-05-30;22;Tarapacá; 1,2829519;1,16199911; 1,4190785
2020-05-31;22;Tarapacá; 1,2019959;1,08641006; 1,3268616
2020-06-01;23;Tarapacá; 1,2202248;1,11861077; 1,3368434
2020-06-02;23;Tarapacá; 1,1825734;1,08429767; 1,2889178
2020-06-03;23;Tarapacá; 1,1832080;1,09370515; 1,2835958
2020-06-04;23;Tarapacá; 1,1579006;1,07282096; 1,2506596
2020-06-05;23;Tarapacá; 1,1266334;1,04949305; 1,2122564
2020-06-06;23;Tarapacá; 1,1325799;1,06042694; 1,2118208
2020-06-07;23;Tarapacá; 1,1466070;1,07599182; 1,2220468
2020-06-08;24;Tarapacá; 1,1658555;1,09312746; 1,2418628
2020-06-09;24;Tarapacá; 1,1253780;1,05193564; 1,2012746
2020-06-10;24;Tarapacá; 1,1125270;1,04394269; 1,1856381
2020-06-11;24;Tarapacá; 1,0622140;0,99969298; 1,1283004
2020-06-12;24;Tarapacá; 1,0400382;0,98414391; 1,0995461
2020-06-13;24;Tarapacá; 1,0436024;0,99176443; 1,0980573
2020-06-14;24;Tarapacá; 1,0521915;1,00162056; 1,1045300
2020-06-15;25;Tarapacá; 1,0113766;0,96240084; 1,0621503
2020-06-16;25;Tarapacá; 1,0289352;0,98035650; 1,0788308
